# time omega_err_norm v_err_norm
5.520000 2.123099 1.077732
5.530000 2.110363 1.063457
5.540000 2.097584 1.049385
5.550000 2.084768 1.035542
5.560000 2.071918 1.021955
5.570000 2.059040 1.008651
5.580000 2.046137 0.995655
5.590000 2.033213 0.982995
5.600000 2.020271 0.970698
5.610000 2.007317 0.958790
5.620000 1.994350 0.947396
5.630000 1.981364 0.936806
5.640000 1.968353 0.927270
5.650000 1.955311 0.918989
5.660000 1.942238 0.912113
5.670000 1.929141 0.906742
5.680000 1.916037 0.902820
5.690000 1.902951 0.900302
5.700000 1.889911 0.899154
5.710000 1.876945 0.899346
5.720000 1.864083 0.900860
5.730000 1.851352 0.903688
5.740000 1.838780 0.907827
5.750000 1.826396 0.913283
5.760000 1.814236 0.920018
5.770000 1.802349 0.927955
5.780000 1.790788 0.936926
5.790000 1.779607 0.946762
5.800000 1.768855 0.957281
5.810000 1.758576 0.968297
5.820000 1.748803 0.979618
5.830000 1.739563 0.991050
5.840000 1.730868 1.002549
5.850000 1.722718 1.014104
5.860000 1.715109 1.025702
5.870000 1.708029 1.037332
5.880000 1.701468 1.048984
5.890000 1.695414 1.060645
5.900000 1.689855 1.072312
5.910000 1.684772 1.084000
5.920000 1.680146 1.095727
5.930000 1.675957 1.107506
5.940000 1.672185 1.119350
5.950000 1.668814 1.131268
5.960000 1.665826 1.143267
5.970000 1.663207 1.155348
5.980000 1.660946 1.167514
5.990000 1.659030 1.179759
6.000000 1.657451 1.192074
6.010000 1.656201 1.204449
6.020000 1.655273 1.216859
6.030000 1.654664 1.229289
6.040000 1.654371 1.241713
6.050000 1.654400 1.254099
6.060000 1.654751 1.266410
6.070000 1.655426 1.278610
6.080000 1.656431 1.290659
6.090000 1.657772 1.302518
6.100000 1.659455 1.314156
6.110000 1.661487 1.325544
6.120000 1.663870 1.336669
6.130000 1.666599 1.347532
6.140000 1.669658 1.358154
6.150000 1.673011 1.368573
6.160000 1.676598 1.378843
6.170000 1.680328 1.389022
6.180000 1.684082 1.399162
6.190000 1.687715 1.409288
6.200000 1.691070 1.419394
6.210000 1.693992 1.429441
6.220000 1.696344 1.439357
6.230000 1.698020 1.449057
6.240000 1.698946 1.458452
6.250000 1.699085 1.467458
6.260000 1.698430 1.476007
6.270000 1.697002 1.484048
6.280000 1.694838 1.491546
6.290000 1.691988 1.498482
6.300000 1.688511 1.504850
6.310000 1.684468 1.510655
6.320000 1.679918 1.515907
6.330000 1.674922 1.520622
6.340000 1.669536 1.524820
6.350000 1.663859 1.528512
6.360000 1.657877 1.531761
6.370000 1.651565 1.534630
6.380000 1.645095 1.537107
6.390000 1.638434 1.539243
6.400000 1.631524 1.541089
6.410000 1.624538 1.542622
6.420000 1.617448 1.543877
6.430000 1.610200 1.544894
6.440000 1.602954 1.545645
6.450000 1.595678 1.546154
6.460000 1.588314 1.546450
6.470000 1.581004 1.546499
6.480000 1.573710 1.546317
6.490000 1.566374 1.545923
6.500000 1.559121 1.545280
6.510000 1.551959 1.544384
6.520000 1.544769 1.543265
6.530000 1.537552 1.541917
6.540000 1.530447 1.540294
6.550000 1.523455 1.538385
6.560000 1.516448 1.536219
6.570000 1.509426 1.533789
6.580000 1.502498 1.531051
6.590000 1.495659 1.527996
6.600000 1.488843 1.524633
6.610000 1.481988 1.520972
6.620000 1.475086 1.517006
6.630000 1.468240 1.512694
6.640000 1.461434 1.508028
6.650000 1.454592 1.503023
6.660000 1.447697 1.497676
6.670000 1.440729 1.491983
6.680000 1.433616 1.485962
6.690000 1.426335 1.479588
6.700000 1.418977 1.472777
6.710000 1.411535 1.465493
6.720000 1.403960 1.457734
6.730000 1.396263 1.449499
6.740000 1.388449 1.440790
6.750000 1.380519 1.431611
6.760000 1.372466 1.421965
6.770000 1.364285 1.411856
6.780000 1.355966 1.401290
6.790000 1.347504 1.390269
6.800000 1.338859 1.378811
6.810000 1.330040 1.366918
6.820000 1.321125 1.354564
6.830000 1.312112 1.341746
6.840000 1.302981 1.328467
6.850000 1.293777 1.314711
6.860000 1.284563 1.300459
6.870000 1.275415 1.285687
6.880000 1.266420 1.270373
6.890000 1.257668 1.254500
6.900000 1.249237 1.238062
6.910000 1.241191 1.221065
6.920000 1.233569 1.203527
6.930000 1.226385 1.185473
6.940000 1.219631 1.166936
6.950000 1.213285 1.147951
6.960000 1.207314 1.128554
6.970000 1.201679 1.108785
6.980000 1.196339 1.088693
6.990000 1.191247 1.068368
7.000000 1.186319 1.047890
